,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Projects,Expected Start Date,Field(s) of Research,Fields,Job Description,Sponsoring Researcher,"INFO SESSION: September 26, 2025 1:30pm – 2:30pm ET",Project,Priority Application Deadline,Sponsoring Researchers,First Review Date,Start Date,,Sponsoring researchers,Fields of research,Deadline/First Review Date,Job Number,Visa,Sponsoring Institution(s),Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Research Scope,Term,Group Specialization,Field of Research,Project Scope,Next review date,Time Period,Note,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Priority Consideration Review Date,Deadline/First review date,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID
79,Pre-Doctoral Fellow,https://bit.ly/4ddx95t,Suzanna Khalifa ,Sciences Po Paris ,"Economics, Development, Labor, Behavioural Sciences ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Postgraduate Associates (Pre-Docs),https://bit.ly/43i6GQT,"OB faculty (some faculty may include Beth Anne Helgason, David Munguia Gomez, Erin Frey, Jennifer Dannals, Laura Adler, and Minjae Kim) ",Organizational Behavior (OB) group at Yale School of Management ,,Application review will begin immediately and continue on a rolling basis thereafter until the position is filled. Short-listed applicants will be asked to complete a data or technical exercise and may be invited to interview. ,,,,,,,,,,,,Summer 2025 ,,,,,,,,,,,,,,"Sociology, psychology, behavioral science, statistics, behavioral economics ","Research related to the future of work, ethics, decision-making, cultural stereotypes, discrimination and inequality in the workplace. ",,,,,,,,,,,,,,,,,,,,
81,Research Assistant,https://bit.ly/4d9NrfW,,"Arthur Lewis Lab for Comparative Development, University of Manchester ",,,,,,,,"Nuno Palma, Department of Economics ",,,,,,"August 1, 2025 ",,,"Economic history, comparative development ",,,,,"Oxford Road, Manchester ",,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Research Associate,https://bit.ly/4jBbVRq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Pre-Doctoral Research Fellows,https://bit.ly/4iSeaPl,Professor Gordon Hanson and Professor Dani Rodrik , Harvard Kennedy School ,"Inequality, labor market outcomes, microeconomics, energy, public policy, and political science ","The final application deadline is May 23, 2025. ",,,,,,,,,,,,Summer 2025 ,,,,,,,,,,The Reimagining the Economy Project ,,,,,"The project entails constructing and analyzing novel data on the factors that make regional economies prosperous and resilient to economic shocks and the effectiveness of industrial, place-based, and other policies in helping regions adjust to adverse changes in economic conditions. ",,,,,,,,,,,,,,,,,,,,
84,Junior Research Scientist,https://bit.ly/4cWMZRP,"Sinja Leonelli, Irina Luneva, Gurpal Sran, and Aleksander Aleszczyk ",NYU Stern School of Business ,Accounting ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Junior Specialist (Predoc),https://bit.ly/43ctuS4,Cailin Slattery ," Center for Effective Global Action (CEGA), University of California, Berkeley ",,"Friday, May 30, 2025 at 11:59pm (Pacific Time) ",,,,"Infrastructure economics and financing, public policy ",,,,,,,,Fall 2025 ,,,,,,,,,,,,,,,,"Wednesday, May 14, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,
86,Geospatial Data Scientist Consultant,https://bit.ly/3RLY3aW,,: Yale Economic Growth Center; Yale Inclusion Economics ,": Development economics, data science, environment, statistics ",: Rolling ,,,,,,,,,,,,,,,,,,,,Remote ,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Pre-Doctoral Research Associate (Development Economics),https://bit.ly/4jDHES6, Duncan Webb ," NovaSBE, Lisbon ","Development, Behavioral Science, Health ",15th May 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pre-Doctoral Fellow,https://bit.ly/4lVCqmo,Dr. Sadegh Eshaghnia ,The Center for the Economics of Human Development ,"Inequality, public policy and intervention, applied microeconomics, econometrics ",Rolling ,,,,,,,,,,,,,,,,,,,,,, Origins of Persistence of Inequality in Denmark  ,,,,,,,,,,,,,,,,,,,,,,,,,
89,Research Associate (Pre-Doc),https://bit.ly/3RG7Or0, Fed economists , Federal Reserve Bank of St. Louis ,"Economics, econometrics, finance ",30 May 2025 midnight UTC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pre-Doctoral Research Fellow,https://bit.ly/4cW2MQY,"Dr. Simone Schaner, Associate Professor (Research) of Economics and fellows/staff at Yale University and Inclusion Economics- India ","Center for Economic and Social Research (CESR),The University of Southern California (USC) ","Development economics, applied econometrics, digital technology and policy, gender ",Rolling ,,,,,,,,,,,,,,,,,,,,"The Fellow will be based at USC, with travel to India and Sub-Saharan Africa. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pre-Doctoral Data Research Specialist,https://bit.ly/44BgIO5,"John Eric Humphries (Yale), Aurélie Ouss (Upenn), Megan Stevenson (UVA Law),  Winnie van Dijk (Yale) ",University of Pennsylvania ,"Public policy, public economics, criminal justice ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Research Manager, Criminal Justice",https://bit.ly/4cJ1Hfg,Researcher Alissa Skog; Research Director Dr. Johanna Lacoe; CRPC Principal Investigators; CRPC Legal Director; and CPL research staff. ,,"Public policy and sociology (homelessness, poverty, criminal justice reform, and education inequality) ",Rolling ,,,,,,,,,,,,,,,,,,, California Policy Lab ,,,,,,,,CPL is the research partner for the Committee on Revision of the Penal Code (CRPC). The Committee is a state entity that studies and recommends changes to all aspects of California’s criminal laws — from policing to sentencing to reentry and more.The Research Manager is the day-to-day project manager on CRPC projects. ,,,,,,,,,,,,,,,,,,,,
93,Pre-Doctoral Associate,https://bit.ly/3GrVh82,, University of Chicago Trust; Development Innovation Lab-India ,"Development economics, health, education, agriculture, climate change ",Rolling ,,,,,,,,,,,,The anticipated start date for this position is between June-July 2025. ,,,,,,,,"Project locations are Bhubaneshwar, Vijayawada, Delhi, Bangalore ",,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Predoctoral Research Assistant – Computational Social Science,https://bit.ly/4jhnqgE,MSR NYC Computational Social Science group , Microsoft Research ,Computational social science ,Applications are reviewed on a rolling basis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Start by June 30, 2025 and end date in July or August 2026 ",,,,,,,,,,,,,,,,,,
95,Research Analyst Positions in Financial Economics (Full-Time),https://bit.ly/4ihAWj7,Alexander Ljungqvist ,Stockholm School of Economics ,,"April 26, 2025 ",,,,,,,,,,,,,,,Finance ,,,,,,,,,,,,,,,A US 4-year bachelor's degree is comparable to a one-year master's in Europe. ,,,,,,,,,,,,,,,,,
96,Junior Research Scientist,https://bit.ly/43ZlUeC,Petra Moser and Jacob French ,"Department of Economics, NYU Stern School of Business ","Applied Microeconomics, Economic History, Labor, Innovation ",Applications will be evaluated on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pre-Doctoral Fellowship,https://bit.ly/3GdN87l,Prof Breza and Viviano ,Harvard University ,Development economics and econometrics ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Junior Research Scientist,https://bit.ly/3Gdj4bR,Giulia Brancaccio and Felix Montag ,New York University Stern School of Business ,,Rolling basis (first review 30 April) ,,,,,,,,,,,,"A start date of September 2025 is preferred, but negotiable. ",,,,,,,,,,,,,,Industrial Organization and International Trade ,,,,,,,,,,,,,,,,,,,,,
99,Pre-Doctoral Research Associate,https://stanford.io/4cyHfxn, Erik Brynjolfsson , Stanford Institute for Economic Policy Research (SIEPR) ,"Economics, Data Science and Tech Innovation, Labor ",Applications will be accepted and reviewed on a rolling basis. The position will remain open until filled. ,,,,,,,,,,,,"July 7, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Pre-Doc Research Assistant Programme,https://bit.ly/3GmRMjd,,"London Business School, University of London ","Behavioral science, data science and tech innovation, sociology/political science ","May 20, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Pre-Doctoral Fellow,https://bit.ly/3EnX25I,Bruce D. Meyer ,"University of Chicago, Harris School of Public Policy ",,Applications will be reviewed on a rolling basis. ,,,"Economics (Labor, Urban, and Public Economics), Data Science and Tech Innovation, and Public Policy ",,,,,,,,,Summer/Fall 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Data Analyst I,https://bit.ly/3EoNgjC,," Department of Political Science, MIT ",Computational techniques; data models and operations infrastructure; political science ,Applications are reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24883-6 ,,,,,,,,,,,,,,,,
103,Junior/Assistant Specialist,https://bit.ly/4jxj6d7,Professor David Broockman ,"The Center for the Study of American Democracy, Travers Department of Political Science at UC Berkeley ","Research on political institutions, political behavior, and political economy in the United States. ","Wednesday, Apr 30, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Research Assistant,https://bit.ly/3Epugl1,Clément de Chaisemartin ,Sciences Po-Paris ,Economics; Econometrics ,3 May 2025 - 23:59 (Europe/Paris) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Pre-Doctoral Research Associate,https://bit.ly/4jHBP6J,Paul A. Gompers ,Harvard Business School ,Entrepreneurship and Finance ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pre-Doctoral Research Assistant,https://bit.ly/4lrhTWA,Assistant Professor Amanda Dahlstrand (Zurich); Postdoc Shan Huang (Stockholm); and Associate Professor Guy Michaels (London School) ,University of Zurich ,,"April 30, 2025 ",,,Healthcare; Digitization and Tech; Econometrics; Applied Economics ,,,,,,,,,,,,,,,,,"Stockholm, Sweden ",,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Post-Graduate Associate,https://bit.ly/4jgW89T,Associate Professor of Government and PRL Director Sean Westwood , Dartmouth College ,Data science and computational social science research projects focused on understanding elections and democracy. ,"Review will start immediately (April 1, 2025) and will continue until the position is filled. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Pre-Doc Research Analyst,https://bit.ly/4df8Kf4,"Joseph Gyourko, Gilles Duranton, Todd Sinai, Fernando Ferreira, Maisy Wong, Ben Keys, Jessie Handbury, Nina Harari, Sophie Calder-Wang ", Wharton Real Estate Center ,"Applied Microeconomics, real estate, urban economics, household finance, public finance, industrial organization, development ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR00094334 ,,,,,,,,,,,,,,,
109,Pre-Doctoral Fellowship in Economics of Education,https://bit.ly/4hF30wM,," Department of Economics, University of Toronto ","Applied Microeconomics, Education ","Rolling, with a start date of June 2025. ",,,,,,,,,,,,,,,,,,Work authorization in Canada is required. ,,,,,,,,,,,,,,, ,"Profs. Gustavo Bobonis, Raissa Fabregas, Orlando Sotomayor, Román Andrés Zárate and Philip Oreopoulos ",,,,,,,,,,,,,
110,Staff Associate,https://bit.ly/4kPBK1i,Economics Division ,Columbia Business School  ,,: Rolling ,,,,: Economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Pre-Doctoral Researcher,https://bit.ly/4iHCB2J,Professor Jacob Moscona ,The Massachusetts Institute of Technology ,"Development, Environmental/Climate Change, Innovation, Political Economy, and Trade ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24844 ,,,,,,,,,,,,
112,Pre-Doctoral Fellowship in Applied Microeconomics,https://bit.ly/3FGz8mk,Prof. Eva Vivalt ," Department of Economics, University of Toronto ","Applied Microeconomics, Cash Transfers, Evidence-Based Decision-Making ","March 31, 2025, with a start date of Summer 2025 ",,,,,,,,,,,,,,,,,,Work authorization in Canada is required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Junior Research Scholar (Pre-Doctoral Fellowship),https://bit.ly/3FHvEjp,Professors Paolo Martellini and Abdou Ndiaye ,The NYU Stern Department of Economics ,"Macroeconomics and related fields (labor, public finance, firm dynamics, and urban economics) ",Applications will be evaluated on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Research Analyst,https://bit.ly/4huZWTD,CEHD’s research is guided by Nobel laureate James J. Heckman to include a comprehensive array of interrelated and interdisciplinary projects and initiatives which promote a thorough empirical understanding of human flourishing. ,Center for the Economics of Human Development (CEHD) ,,,,,Economics; econometrics; health; public policy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolling ,,,,,,,,,,,
115,Research Assistant,https://bit.ly/3XUdOQn,Staff economists , Federal Reserve Bank of Chicago ,"Micro and macroeconomics, finance, regional economics, insurance markets, and economic inequality and inclusion. ",Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Junior Research Scientist,https://bit.ly/3FwtkvG,,,,Rolling ,,,,Management & Operations ,,,,,,,,,,,,,,," Management & Organizations Department, NYU Stern School of Business ",,,,,,,,,,,,,,,,,,Corporate social responsibility; demographics and inequality; entrepreneurship; interpersonal relationships; technology and innovation; the future of work; etc. ,,,,,,,,,,
117,Research Professional,https://bit.ly/4kPP6KP,Dr. Joshua Conrad Jackson ,The University of Chicago Booth School of Business ,Behavioral Science ,"Rolling review, initial full review April 1st. ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Research on how culture and history influence human behavior and cognition, including moral psychology, religious belief and ritual, emotion, political ideology, social norms, and language. ",,,,,,,,,,,,,,,,,,,,
118,Junior Research Scientist,https://bit.ly/3Duauoj,Professors Peter Koudijs and Amanda Dos Santos ,Leonard N. Stern School of Business: Finance Department ,Finance ,"Mar 31, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Research topics include emerging market debt dynamics, financial strategies of multinational firms, and global capital flows. ",,,,,,,,,,,,,,,,,,,,
119,Pre-Doctoral Fellow in Economics and Applied Machine Learning with a Focus on Developing Countries,https://bit.ly/4kO1vio,David Yanagizawa-Drott , University of Zurich ,"Development, Data Science and Tech Innovation, Machine Learning, Political Economy, Public Policy ",,,,,,,,,"Cutting-edge research exploring the role of AI technologies in lower-middle-income countries, with a focus on Sub-Saharan Africa (Ghana, Tanzania, Kenya) ",,,,,,,,"Applications are reviewed on a rolling basis, with first full review on March 24. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Full-Time Research Assistant,https://bit.ly/3DK1qLT,Abhishek Nagaraj ,National Bureau of Economic Research ,"Technological Change; Research and Development, Agricultural and Natural Resource Economics; Environmental and Ecological Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,IRiSS Pre-Doctoral Researchers,https://bit.ly/4bGC7XI," Jeffrey Hancock, José Ignacio Cuesta, Jens Hainmueller, Neil Malhotra, Douglas Rivers, Scott Sagan, Johannes Eichstaedt, Michael Frank, Jeremy Freese, David Grusky ",Stanford University – Institute for Research in the Social Sciences ,"Communication, Economics, Political Science, Psychology, Sociology ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 17 ,,,,,,,,,
122,Pre-Doctoral Researcher,https://bit.ly/4bxrBSt,Professors Andrew Garin and Felix Koenig , Carnegie Mellon University: Heinz College ,Labor ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,Projects about the economics of labor markets ,,,,,,,,,,,,,,,,,,,,
123,Research Professional,https://bit.ly/3DiUoha,Sanjog Misra ,The University of Chicago Center for Applied AI ,"Economics, Machine Learning, Computer Science ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 21, 2025 ",,,,,,,,
124,Research Associate (Economics),https://bit.ly/3QKowVS,"Prof. Farzana Afridi (Indian Statistical Institute, Delhi) & Dr. Sugat Chaturvedi (Ahmedabad University) ","Centre for Research on the Economics of Climate, Food, Energy and Environment); Indian Statistical Institute (ISI), Delhi Centre; and IFMR (Institute for Financial Management and Research). ",Labor economics ,Applications will be open till the position is filled. ,,,,,,,,The projects seek to harness digital technology to address multiple constraints on Female Labour Force Participation and improve women’s labor market outcomes. ,,,,,,,,,,,,ISI (New Delhi) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Pre-Doc in Economics and Data Science,https://bit.ly/4h3rAH0,"Elliott Ash (ETH Zurich), Benjamin Arold (University of Cambridge) ", ETH Zurich ,"Data Science and Tech Innovation, Education, Political Economy ","April 1, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Pre-Doctoral Fellow in Applied Economics & Impact Evaluation,https://bit.ly/3XmrXpb,Travis J. Lybbert ," University of California, Davis ","Agricultural and Resource Economics, Development Economics ","Mar 5, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Research Associates,https://bit.ly/3Xhfcvq,,,"Education, Finance, Labor, Macro, Public Policy, and Urban ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, The Federal Reserve System ,,,,,,,
128,Pre-Doctoral Fellow,https://bit.ly/4gZsAfy,Matt Kahn and Paulina Oliva ,University of Southern California ,,"March 31, 2025 ",,,Environmental Economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Research Professional – International Economics and Economic Geography Initiative,https://bit.ly/4gV5kix,"Brent Neiman, Milena Almagro, and Rohan Kekre ",The Becker Friedman Institute for Economics (BFI) ,"International finance, macro, and spatial economics ",Rolling ,,,,,,,,,,,,"7/1/2025, with flexibility ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Full-Time Pre-Doctoral Associate,https://bit.ly/4hQFKNa,Professors Hortense Fong and George Gui ,Columbia Business School ,"Data Science, Statistics, Computational Social Science, Computer Science, and Marketing (researchers will apply machine learning techniques to the study of marketing problems, including but not limited to the analysis of consumer behavior, user-generated content, and advertising) ",Applications are reviewed on a rolling basis; the initial full review will be March 15. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pre-Doctoral Research Fellow,https://bit.ly/4h1y09X,"Anya Samek (University of California San Diego), Lena Song (University of Illinois Urbana-Champaign), and John List (University of Chicago) ", University of California San Diego ,"Behavioral Science, Education ","Rolling, with first interviews starting March 1, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Pre-Doctoral Positions,https://bit.ly/3CM4IxV,Abhishek Nagaraj (UC Berkeley) and Matteo Tranchero (Penn) , UC Berkeley’s Haas School of Business; Wharton School of the University of Pennsylvania ,": Applied economics, innovation, entrepreneurship, data science and tech innovation ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Pre-Doctoral Technical Associate,https://bit.ly/4hBFgtU,": Anna Stansbury, Assistant Professor at MIT Sloan ",: Massachusetts Institute of Technology: Sloan School of Management ,,: We will review all applications and interview candidates in February. ,,,: Labor economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Research topics will include imperfect competition as well as the role of institutions (e.g. governments, unions) in regulating labor market inequality. ",,,,,,
134,Pre-Doctoral Technical Associate,https://bit.ly/4er9iOY,Antoinette Schoar ,,"FinTech, Cryptocurrency and Blockchain, Consumer Finance, and Financial Intermediation ",,,,,,,,,,,,,,,,,,,, MIT Sloan School of Management ,,,,,,,,,,,,,,,,,,,,,,,We will be accepting and reviewing applications on a rolling basis until the position(s) are filled ,,,,,
135,Full-Time Research Assistant,https://bit.ly/4hwY3a0,Matthew Baron , National Bureau of Economic Research ,"Banking, Financial Crises, Financial History ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Research Professional in Accounting,https://bit.ly/4hyJouK,Professor Philip Berger ,The University of Chicago Booth School of Business ,"Accounting, corporate finance, and labor economics. ","Applications are reviewed on a rolling basis; the initial full review will be March 15, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Research Professional in Marketing,https://bit.ly/3Eupeng,Professor Andreas Kraft ,University of Chicago Booth School of Business ,Quantitative Marketing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Applications are reviewed on a rolling basis; the initial full review will be March 1, ",,,
138,Full-Time Research Specialist,https://bit.ly/41c0HfB,," Crockett Lab, Princeton's Department of Psychology and University Center for Human Values ","Psychology, cognitive science, computational social science, data science, and related fields. ","Applications will go under review starting February 14th, rolling afterward. ",,,,,,,,,,,,,,,,,,,,,,,,,,,"The Research Specialist will contribute to research projects investigating transformative experience, identity change, and empathy in the digital age. ",,,,,,,,,,,,,,,,,,,,
139,Pre-Doctoral Fellowship in Applied Economics,https://bit.ly/4jMh0XH,"Profs. Nate Baum-Snow, Victor Couture, and Stephan Heblich "," Department of Economics and Rotman School of Management, University of Toronto ","Urban, Labor, History, Environment, Transportation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rolling, with a start date of Summer 2025 ",,,,,,,,
140,Pre-Doctoral Research Fellow,https://bit.ly/40MdGDf,Dr. John M. Griffin ,Integra FEC ,"Finance, CMBS, Economics, Cryptocurrency, & Fraud Analytics ",04/04/2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Pre-Doctoral Fellow,https://bit.ly/3CtAoIk,Reed Walker (Business & Public Policy) ,The Center for Effective Global Action (CEGA) and the Opportunity Lab at UC Berkeley ,Energy and Environmental Economics; Labor Economics; Public Economics ,"March 24, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 18, 2025 ",,
142,Research Professional,https://bit.ly/40OKNWZ,Kawin Ethayarajh ,The University of Chicago Booth School of Business ,"Microeconomics, Data Science and Tech Innovation, AI and Machine Learning ","March 31, then rolling ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pre-Doctoral Research Specialist,https://bit.ly/42LNHhR,,": Wharton School, University of Pennsylvania ",: Public Economics; Labor; Public Policy; Applied Microeconomics ,: Rolling/February 21st ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,): Ben Sprung-Keyser ,
144,Pre-Doctoral Researcher,https://bit.ly/4jMRAZW,Prof. Nina Roussille ,Massachusetts Institute of Technology ,"Research in labor economics on the determinants of imperfect competition, gender and racial inequality, as well as the role of information frictions in generating income inequality. ",Rolling ,,,,,,,,,,,,"June 1st, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#24818 
145,Research Professional,https://bit.ly/40M5pz6,Quentin Vandeweyer and Anthony Lee Zhang ,The University of Chicago Booth School of Business ,"Microeconomics, Finance, Economic Theory, Structural Estimation ","February 28, then rolling ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Pre-Doctoral Fellow,https://bit.ly/4hlbauQ,Professors Lisa B. Kahn and Ronni Pavan ,University of Rochester; Census Research Data Center ,Labor and urban economics. ,"Review of applications will begin on March 1 2025, with rolling reviews until the position is filled. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Research Professional-Climate Impact Lab,https://bit.ly/4jIvasG,: Michael Greenstone ,,,: Rolling ,,,,": Energy, climate policy, climate change's impact on various socioeconomic sectors, including health, agriculture, labor, energy, conflict, coasts, and migration. ",,,,,,,,"July 1, 2025 ",,,,,,,: The Energy Policy Institute at Chicago (EPIC) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Research Analyst,https://bit.ly/40z56aO,Dean Karlan; Christopher Udry ,"Global Poverty Research Lab, Northwestern University ",Development Economics ,2/14/25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Research Professional,https://bit.ly/42mLf1b,Professor Christopher Blattman ," BFI’s Development Economics Initiative, The Becker Friedman Institute for Economics at the University of Chicago ","Violence prevention, the economics of organized crime, and other topics on the intersection of development economics and political economy. ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Research Professional,https://bit.ly/4htFJhk,,": Behavioral Insights and Parenting Lab, The University of Chicago ",: Parental decision-making; income-based behavioral interventions; child development ,: Rolling ,,,,,,,,,,,,7/1/2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,): Professors Ariel Kalil and Susan Mayer ,
151,Kabir Banerjee Pre-Doctoral Fellowship,https://bit.ly/4juabdh,,The Weiss Fund for Research in Development Economics ,The Weiss Fund for Research in Development Economics supports innovative research projects that aim to improve the lives of people living in developing countries. ,"The application deadline is January 31st, 2025 EOD Central Time. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Pre-Doctoral Research Associate,https://bit.ly/4atRIJt,Dan Garrett and Marius Guenzel  ," The Wharton School, University of Pennsylvania ",Finance ,Rolling with First Review Date in early February ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
