,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Visa,Sponsoring Institution(s),Sponsoring Researchers,Sponsoring Researcher,,Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Start Date,Research Scope,Term,Project,Group Specialization,Field of Research,Project Scope,Fields of research,Fields,Next review date,Time Period,Note,Field(s) of Research,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Deadline/First Review Date,Priority Consideration Review Date,Deadline/First review date,Job Description,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID,Institution,Requisition ID,First Review Date,Job Reference ID
79,Research Associate (Economics),https://bit.ly/3QKowVS,"Prof. Farzana Afridi (Indian Statistical Institute, Delhi) & Dr. Sugat Chaturvedi (Ahmedabad University) ","Centre for Research on the Economics of Climate, Food, Energy and Environment); Indian Statistical Institute (ISI), Delhi Centre; and IFMR (Institute for Financial Management and Research). ",Labor economics ,Applications will be open till the position is filled. ,,,,,,ISI (New Delhi) ,,,,,,The projects seek to harness digital technology to address multiple constraints on Female Labour Force Participation and improve women’s labor market outcomes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pre-Doc in Economics and Data Science,https://bit.ly/4h3rAH0,"Elliott Ash (ETH Zurich), Benjamin Arold (University of Cambridge) ", ETH Zurich ,"Data Science and Tech Innovation, Education, Political Economy ","April 1, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Pre-Doctoral Fellow in Applied Economics & Impact Evaluation,https://bit.ly/3XmrXpb,Travis J. Lybbert ," University of California, Davis ","Agricultural and Resource Economics, Development Economics ","Mar 5, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Research Associates,https://bit.ly/3Xhfcvq,,,"Education, Finance, Labor, Macro, Public Policy, and Urban ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, The Federal Reserve System ,,,,,,,,,,,
83,Pre-Doctoral Fellow,https://bit.ly/4gZsAfy,Matt Kahn and Paulina Oliva ,University of Southern California ,,"March 31, 2025 ",,,,,,,,,,,,,,,,,,,,,Environmental Economics ,,,,,,,,,,,,,,,,,,,,,,,
84,Research Professional – International Economics and Economic Geography Initiative,https://bit.ly/4gV5kix,"Brent Neiman, Milena Almagro, and Rohan Kekre ",The Becker Friedman Institute for Economics (BFI) ,"International finance, macro, and spatial economics ",Rolling ,,,,,,,,,"7/1/2025, with flexibility ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Full-Time Pre-Doctoral Associate,https://bit.ly/4hQFKNa,Professors Hortense Fong and George Gui ,Columbia Business School ,"Data Science, Statistics, Computational Social Science, Computer Science, and Marketing (researchers will apply machine learning techniques to the study of marketing problems, including but not limited to the analysis of consumer behavior, user-generated content, and advertising) ",Applications are reviewed on a rolling basis; the initial full review will be March 15. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Pre-Doctoral Research Fellow,https://bit.ly/4h1y09X,"Anya Samek (University of California San Diego), Lena Song (University of Illinois Urbana-Champaign), and John List (University of Chicago) ", University of California San Diego ,"Behavioral Science, Education ","Rolling, with first interviews starting March 1, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Pre-Doctoral Positions,https://bit.ly/3CM4IxV,Abhishek Nagaraj (UC Berkeley) and Matteo Tranchero (Penn) , UC Berkeley’s Haas School of Business; Wharton School of the University of Pennsylvania ,": Applied economics, innovation, entrepreneurship, data science and tech innovation ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pre-Doctoral Technical Associate,https://bit.ly/4hBFgtU,": Anna Stansbury, Assistant Professor at MIT Sloan ",: Massachusetts Institute of Technology: Sloan School of Management ,,: We will review all applications and interview candidates in February. ,,,,,,,,,,,,,,,,,,,,,: Labor economics ,,,,,,,,,,,,,"Research topics will include imperfect competition as well as the role of institutions (e.g. governments, unions) in regulating labor market inequality. ",,,,,,,,,,
89,Pre-Doctoral Technical Associate,https://bit.ly/4er9iOY,Antoinette Schoar ,,"FinTech, Cryptocurrency and Blockchain, Consumer Finance, and Financial Intermediation ",,, MIT Sloan School of Management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We will be accepting and reviewing applications on a rolling basis until the position(s) are filled ,,,,,,,,,
90,Full-Time Research Assistant,https://bit.ly/4hwY3a0,Matthew Baron , National Bureau of Economic Research ,"Banking, Financial Crises, Financial History ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Research Professional in Accounting,https://bit.ly/4hyJouK,Professor Philip Berger ,The University of Chicago Booth School of Business ,"Accounting, corporate finance, and labor economics. ","Applications are reviewed on a rolling basis; the initial full review will be March 15, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Research Professional in Marketing,https://bit.ly/3Eupeng,Professor Andreas Kraft ,University of Chicago Booth School of Business ,Quantitative Marketing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Applications are reviewed on a rolling basis; the initial full review will be March 1, ",,,,,,,
93,Full-Time Research Specialist,https://bit.ly/41c0HfB,," Crockett Lab, Princeton's Department of Psychology and University Center for Human Values ","Psychology, cognitive science, computational social science, data science, and related fields. ","Applications will go under review starting February 14th, rolling afterward. ",,,,,,,,,,,,,,,"The Research Specialist will contribute to research projects investigating transformative experience, identity change, and empathy in the digital age. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pre-Doctoral Fellowship in Applied Economics,https://bit.ly/4jMh0XH,"Profs. Nate Baum-Snow, Victor Couture, and Stephan Heblich "," Department of Economics and Rotman School of Management, University of Toronto ","Urban, Labor, History, Environment, Transportation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rolling, with a start date of Summer 2025 ",,,,,,,,,,,,,
95,Pre-Doctoral Research Fellow,https://bit.ly/40MdGDf,Dr. John M. Griffin ,Integra FEC ,"Finance, CMBS, Economics, Cryptocurrency, & Fraud Analytics ",04/04/2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Pre-Doctoral Fellow,https://bit.ly/3CtAoIk,Reed Walker (Business & Public Policy) ,The Center for Effective Global Action (CEGA) and the Opportunity Lab at UC Berkeley ,Energy and Environmental Economics; Labor Economics; Public Economics ,"March 24, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 18, 2025 ",,,,,,
97,Research Professional,https://bit.ly/40OKNWZ,Kawin Ethayarajh ,The University of Chicago Booth School of Business ,"Microeconomics, Data Science and Tech Innovation, AI and Machine Learning ","March 31, then rolling ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Pre-Doctoral Research Specialist,https://bit.ly/42LNHhR,,": Wharton School, University of Pennsylvania ",: Public Economics; Labor; Public Policy; Applied Microeconomics ,: Rolling/February 21st ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,): Ben Sprung-Keyser ,,,,,
99,Pre-Doctoral Researcher,https://bit.ly/4jMRAZW,Prof. Nina Roussille ,Massachusetts Institute of Technology ,"Research in labor economics on the determinants of imperfect competition, gender and racial inequality, as well as the role of information frictions in generating income inequality. ",Rolling ,,,,,,,,,"June 1st, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#24818 ,,,,
100,Research Professional,https://bit.ly/40M5pz6,Quentin Vandeweyer and Anthony Lee Zhang ,The University of Chicago Booth School of Business ,"Microeconomics, Finance, Economic Theory, Structural Estimation ","February 28, then rolling ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Pre-Doctoral Fellow,https://bit.ly/4hlbauQ,Professors Lisa B. Kahn and Ronni Pavan ,University of Rochester; Census Research Data Center ,Labor and urban economics. ,"Review of applications will begin on March 1 2025, with rolling reviews until the position is filled. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Research Professional-Climate Impact Lab,https://bit.ly/4jIvasG,: Michael Greenstone ,,,: Rolling ,,: The Energy Policy Institute at Chicago (EPIC) ,,,,,,,"July 1, 2025 ",,,,,,,,": Energy, climate policy, climate change's impact on various socioeconomic sectors, including health, agriculture, labor, energy, conflict, coasts, and migration. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Research Analyst,https://bit.ly/40z56aO,Dean Karlan; Christopher Udry ,"Global Poverty Research Lab, Northwestern University ",Development Economics ,2/14/25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Research Professional,https://bit.ly/42mLf1b,Professor Christopher Blattman ," BFI’s Development Economics Initiative, The Becker Friedman Institute for Economics at the University of Chicago ","Violence prevention, the economics of organized crime, and other topics on the intersection of development economics and political economy. ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Research Professional,https://bit.ly/4htFJhk,,": Behavioral Insights and Parenting Lab, The University of Chicago ",: Parental decision-making; income-based behavioral interventions; child development ,: Rolling ,,,,,,,,,7/1/2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,): Professors Ariel Kalil and Susan Mayer ,,,,,
106,Kabir Banerjee Pre-Doctoral Fellowship,https://bit.ly/4juabdh,,The Weiss Fund for Research in Development Economics ,The Weiss Fund for Research in Development Economics supports innovative research projects that aim to improve the lives of people living in developing countries. ,"The application deadline is January 31st, 2025 EOD Central Time. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Pre-Doctoral Research Associate,https://bit.ly/4atRIJt,Dan Garrett and Marius Guenzel  ," The Wharton School, University of Pennsylvania ",Finance ,Rolling with First Review Date in early February ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Research Assistant III,https://bit.ly/40ImZVS,Nicole Maestas , Harvard Medical School ,"Health, Labor, Economics ",Applications reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Research Assistant-Exploring Economics of Technological Progress, Innovation, and Artificial Intelligence",https://bit.ly/40rs6Z7,"Danial Lashkari, Neil Thompson ",MIT FutureTech at MIT Sloan ,"Innovation and Technical Growth, Macroeconomics, Econometrics, Data Science ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Pre-Doctoral Research Associate,https://bit.ly/40B8Iuc,"Amy W. Huber, Karen K. Lewis, and Yao Zeng "," The Wharton School, University of Pennsylvania ",,Rolling with First Review Date in early February ,,,,,,,,,,,,,,,,,,,,,Finance ,,,,,,,,,,,,,,,,,,,,,,,
111,Full-Time Research Assistant,https://bit.ly/42oC2Wd,Yueran Ma , National Bureau of Economic Research ,,Rolling ,,,,,,,,,,,,,,,,,"Corporate Finance, Organizational Economics, Entrepreneurship, Macroeconomics ",,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lab Manager/Research Assistant,https://bit.ly/40fXIkD,,,"Behavioral Science, Mental Health, Social Neuroscience, Computational Neuroscience. ",Ongoing. ,,,,Dr. Damian Stanley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adelphi University ,,,
113,Research Data Analyst (Pre-Doctoral),https://bit.ly/3WfDMwM,Ulrike Malmendier ," UC Berkeley, O'Donnell Center for Behavioral Economics (Haas School of Business & Department of Economics) ","Applied Microeconomics, Behavioral Economics, Behavioral Finance, Macro-Finance, Labor, Health ",Rolling. Early applications are encouraged. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#75137 ,,,,
114,Pre-Doctoral Research Assistant,https://bit.ly/4gSNIVh,Davide Cantoni and Claudia Steinwender ,Ludwig-Maximilians-University Munich ,"Economics, Economic History, Applied Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Pre-Doctoral Research Associates,https://bit.ly/4hhX1xR,, Harvard Business School ,"Strategy, Finance, Entrepreneurial Management, Technology and Operations Management, Organizations and Markets, Organizational Behavior, Marketing, or Accounting ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Research Associate-Junior Professional Researcher Program,https://bit.ly/40vuEXH,,The University of Michigan Institute for Social Research (ISR) ,,"Feb 02, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,,,,,,,"Social psychology, public policy, qualitative social sciences, epidemiology and genomics. ",,,,,,,,,,,,,,,,,,,,,,,
117,Pre-Doctoral Research Fellow in Financial Economics,https://bit.ly/4abwboO,Gordon Phillips and Franz Hinzen , Tuck School of Business at Dartmouth ,,Rolling ,,,,,,,,,,,,,,,,,,,,,Finance ,,,,,,,,,,,,,,,,,,,,,,,
118,Research Assistant in Economics,https://bit.ly/4j72465,Arash Nekoei and Josef Sigurdsson ,"The Institute for International Economic Studies (IIES), Stockholm University ",,2025/1/17 ,,,,,,,,,,,,,,,,,,,,,"Public Economics, Labor Economics, Economic History ",,,,,,,,,,,,,,,,,,,,,,,
119,Research Assistants,https://bit.ly/4g49CnD,,Federal Reserve Bank of Philadelphia ,"Economics, monetary policy, econometrics and statistics ","Apply by May 15, 2024. ",,,Economic Research Department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Research Assistant,https://bit.ly/3DKdbBP,Institute Director and associated economists ," The Opportunity and Inclusive Growth Institute, Federal Reserve Bank of Minneapolis ","Economic opportunity and inclusive growth, econometrics and statistics ",Late winter or early spring ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Research Associate,https://bit.ly/4iB88Uh,Professor Sabareesh Ramachandran ,The Indian School of Business (ISB) ,Economics and Public Policy ,Rolling. Early applications are encouraged. ,,,,,,,,,,,,,,,"Professor Sabareesh's research focuses on identifying ways governments should best allocate resources to improve welfare outcomes like education, health, and social protection. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Empirical Research Fellow,https://bit.ly/3CjUYdD,Dashun Wang ," Kellogg School of Management, Northwestern University ","Computational social science, network analysis, metascience ","Apply by February 7, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Pre-Doctoral Research Specialist,https://bit.ly/3We19ai,,"Wharton School of Business, The University of Pennsylvania ",AI; Education; Machine Learning ,Rolling ,,,,,,,,,,,,,,,The Pre-Doctoral Research Specialist will conduct research on two main projects - understanding impact of AI on human interactions and impact of smartphone bans on educational outcomes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,CSAP Predoc: Domestic and Foreign Politics of China,https://bit.ly/3DXyAaw,Daniel Mattingly ,Yale University ,,Rolling ,,,,,,,,,,,,,,,,,,,,,"Sociology/Political Science, Political Economy ",,,,,,,,,,,,,,,,,,,,,103181 ,,
125,Predoctoral Research Associate,https://bit.ly/3C1jQae,Finance unit ,Harvard Business School ,"Asset pricing, corporate finance, financial strategy, capital markets, credit risk, and more. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolling ,
126,Predoctoral Research Associate,https://bit.ly/4h2klj8,,Harvard Business School (HBS) ,"Design and management of negotiations, organizations, and markets. ",Rolling ,,,"Negotiation, Organizations & Markets, and Organizational Behavior units. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Predoctoral Research Associate,https://bit.ly/4fTwIwN,Aliya Korganbekova and Jungkoo Kang ,Harvard Business School ,"Alternative/big data, corporate social responsibility, and corporate finance ",Applications will be considered on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Predoctoral Research Associate,https://bit.ly/4j7fVsZ,Bill Kerr , Harvard Business School (HBS) ,,"The recruiting process is rolling. Applications will be reviewed as they are received, now through spring 2025. ",,,,,,,,,,,,,,,,,,,,,"Research topics include, but are not limited to, entrepreneurship, innovation, and economic growth, with a focus on individual- and firm-level outcomes. ",,,,,,,,,,,,,,,,,,,,,,,
129,Predoctoral Research Associate,https://bit.ly/3PoCBau,: Yuan Zou  ," Accounting and Management Unit,, Harvard Business School ",": Research topics center on corporate communications and corporate financial social media. This is a terrific opportunity to gain exposure to corporate disclosure, information intermediaries, mutual funds, corporate culture, and financial statement analysis. ",": The recruiting process is rolling. Applications will be reviewed as they are received, now through spring 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Full-Time Research Assistant in Health Economics and Econometrics,https://bit.ly/42PfuMk,Professors Amanda Kowalski (Michigan) and David Chan (Stanford) ,University of Michigan in Ann Arbor ,Health Economics; Statistics and Econometrics ,Applications will be considered on a rolling basis. ,,,,,,,,"“Equality vs. Equity by Social Vulnerability, Race, and Ethnicity: Evidence from Randomized and Targeted COVID-19 Vaccine Invitations.” ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pre-Doctoral Research Fellow/Researcher,https://bit.ly/3ZM0CNC,Andrew Scott ,"Ellisons Institute of Technology, Oxford ",,Rolling ,,,,,,,,,,,,,,,,,,,,,"Health, Macroeconomics ",,,,,,,,,,,,,,,,,,,,,,,
132,Empirical Research Fellow,https://bit.ly/40B7pMh,,"Kellogg School of Management, Northwestern University ","Quantitative Marketing, Machine Learning, Search ",12/31/2024 ,,,,Ilya Morozov ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Junior Research Scientist,https://bit.ly/4gxyqF9,"Robert Richmond, Toomas Laarits ", NYU Stern School of Business ,Finance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2025 ,,,,,,,,,,,,,,,
134,Empirical Research Fellow,https://bit.ly/40B7pMh,"Tom Hagenberg, Jung Min Kim, Fabian Nagel, Georg Rickmann "," Kellogg School of Management, Northwestern University ","Accounting, information disclosures, credit markets ",December 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Full-Time Research Assistant,https://bit.ly/3D1MPLc,Ernest Liu ,: National Bureau of Economic Research ,,: Rolling ,,,,,,,,,,,,,,,,,: Trade Economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Empirical Research Fellow,https://bit.ly/40B7pMh,Maria Ibañez ," Kellogg School of Management, Northwestern University ","Operations management, labor, health operations ",December 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Pre-Doctoral Fellow/Research Technician,https://bit.ly/3ZIZXOl,"Sam Norris, Katherine Wagner, Réka Juhász, Gorkem Bostanci, and others "," Vancouver School of Economics, University of British Columbia ","Labor Economics, Development, Economic History, Political Economy, Public Economics, the Economics of Crime, Applied Microeconomics ",: Applications are reviewed on a rolling basis until the positions are filled. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Pre-Doctoral Research Associate,https://bit.ly/41qvHcl,Professor Ebehi Iyoha , Harvard Business School (HBS) ,Research projects are related to international trade and draw heavily on applied econometrics and microeconomic theory. ,"The recruiting process is rolling. Applications will be reviewed as they are received, now through spring 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Research Assistants,https://bit.ly/3ZjsF70,Dr Chris Colvin and Professor John Turner ," Centre for Economics, Policy and History at Queen’s University Belfast ",Economic History ,6 January 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Pre-Doctoral Research Associate,https://bit.ly/3ZB5pTi," Ben Castleman, Tim Layton, Andrew Simon, Sebastian Tello-Trillo, Derek Wu "," University of Virginia, Batten School of Leadership and Public Policy ","Public Economics, Economics of Education, Health Economics, Social Insurance ","January 6, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Pre-Doctoral Research Associate,https://bit.ly/3ZDMU0z,Professor Ray Kluender , Harvard Business School ,"Household finance, public economics, and entrepreneurship ",Rolling ,,,,,,,,,"July 1st, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Pre-Doctoral Fellowship in Applied Microeconomics: Education, Governance, and Migration",https://bit.ly/49oY4JB,Profs. Ceren Baysan and Román Andrés Zárate ,"Forward Society Lab, Department of Economics, University of Toronto ","Education, Political Economy, Migration ",Rolling. Apply ASAP for early review. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pre-Doctoral Researcher-Technical Associate,https://bit.ly/3B7yo7P,"Namrata Kala, Alexey Makarin, Benjamin Vatter, and Catherine Wolfram ",MIT Sloan School of Management ,Applied Microeconomics ,Applications will be considered on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Empirical Research Fellow,https://bit.ly/40B7pMh,," Kellogg School of Management, Northwestern University ",,12/31/2024 ,,,,Artem Timoshenko ,,,,,,,,,,,,"Quantitative marketing, machine learning, innovation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Pre-Doctoral Fellow,https://bit.ly/3YZUgtO,Jonathan Colmer and Jay Shimshack , University of Virginia/The Environmental Inequality Lab ,Environmental Economics ,12/1/2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Pre-Doctoral Fellowship,https://bit.ly/3ZjUaOU,Professor Gabriel Kreindler , Harvard University ,"Urban, spatial and development economics ",Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Pre-Doctoral Fellowship in Behavioral-Economic Theory,https://bit.ly/4fCW3vS,Professor Matthew Rabin , Harvard University ,Psychology; Economics ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Empirical Research Fellow,https://bit.ly/40B7pMh,Klaus Weber ," Kellogg School of Management, Northwestern University ","Computational sociology, linguistics, organizational behavior, sustainability ",December 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Pre-Doc Research Analyst,https://bit.ly/3XkpGu1,"Joseph Gyourko, Maisy Wong, Gilles Duranton, Jessie Handbury ","Zell/Lurie Real Estate Center at the Wharton School of Business, University of Pennslyvania ","Applied Microeconomics, real estate, urban economics, household finance, public finance, industrial organization, development ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolling ,,,,,,,,,,,,,,,JR00095090 
150,Pre-Doctoral Research Fellow,https://bit.ly/4eE1auv,Professors Stefanie Deluca and Nick Papageorge ,Poverty and Inequality Research Lab at Johns Hopkins University ,Sociology and Economics ,"December 2, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Research Data Analyst Associate,https://bit.ly/3YUk8XI,Charles Manski ,"Northwestern University, Department of Economics ","Economics, Health ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Research Associate,https://bit.ly/3YHu7iY,"Gideon Bornstein, Sasha Indarte, Sergio Salgado ", Wharton School/University of Pennsylvania ,"Macroeconomics, household finance and inequality ","Applications received by November 26, 2024 will be given priority. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
